id	device_type	instrument_type	wattage	purpose	position	unit_number	color	dimmer	channel	address	universe	u_address	circuit_number	circuit_name	system	user_field_1	user_field_2	user_field_3	user_field_4	user_field_5	user_field_6	num_channels	frame_size	field_angle	field_angle_2	beam_angle	beam_angle_2	weight	gobo_1	gobo_1_rotation	gobo_2	gobo_2_rotation	gobo_shift	mark	draw_beam	draw_beam_as_3d_solid	use_vertical_beam	show_beam_at	falloff_distance	lamp_rotation_angle	top_shutter_depth	top_shutter_angle	left_shutter_depth	left_shutter_angle	right_shutter_depth	right_shutter_angle	bottom_shutter_depth	bottom_shutter_angle	symbol_name	use_legend	flip_front_and_back_legend_text	flip_left_and_right_legend_text	focus	set_3d_orientation	x_rotation	y_rotation	x_location	y_location	z_location	fixtureid	__uid	accessories	created_at	updated_at	production_id
447																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
448	Light	Source 4 26º	575W	Marley Area	C5	4	R54+R119	320	33	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FC3	False	0	0	23'9.669	29'9.841	0	-	1639.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
449																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
450	Light	Source 4 26º	575W	Marley Area	D5	4	R54+R119	315	34	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FD3	False	0	0	23'7.761	19'10.841	0	-	1640.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
451																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
452	Light	Source 4 26º	575W	Marley Area	D1	6	R54+R119	135	4	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FD1	False	0	0	-24'11.984	19'10.854	0	-	1641.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
453																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
454	Light	Source 4 26º	575W	Marley Area	C1	6	R54+R119	143	3	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FC1	False	0	0	-23'2.874	27'6.35	0	-	1642.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
455																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
456	Light	Source 4 36º	575W	Splat G Blue	CATWALK RIGHT	5	R80	29	457	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	34°	17°	23°	12°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 36°	FOH	False	False	Splat G	False	0	0	-30'11.378	33'1.973	-14'0	-	1643.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
457																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
458	Light	Source 4 26º	575W	Marley Area	E2	5	R54	163	10	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FE2	False	0	0	-15'.985	6'10.467	0	-	1655.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
459																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
460	Light	Source 4 26º	575W	Downlight	C3	5	L202+R119	199	71	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FC1	False	0	0	-4'3.95	25'8.135	0	-	1656.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
461																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
462	Light	Source 4 26º	575W	Downlight	C3	6	L202+R119	235	72	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FC2	False	0	0	8	27'10	0	-	1657.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
463																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
464	Light	Source 4 26º	575W	Marley area	E4	4	R54	271	30	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FE2	False	0	0	13'10.224	10'9.778	0	-	1658.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
465																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
466	Light	Dyna-Spot	1kw/1.5kw	-	CATWALK RIGHT	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	23°	17°	14°	12°	74.5lbw	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Dyna-Spot	FOH	False	False	-	False	0	0	34'.241	-5'3.33	0	-	1659.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
467																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
468	Light	Dyna-Spot	1kw/1.5kw	-	CATWALK LEFT	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	23°	17°	14°	12°	74.5lbw	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Dyna-Spot	FOH	False	False	-	False	0	0	-35'4.966	-5'6.18	0	-	1660.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
469																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
470	Light	Source 4 26º	575W	Michelle	B1	6	L009	141	220	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FC1	False	0	0	-21'7.61	37'5.483	0	-	1661.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
471																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
472	Light	Source 4 26º	575W	Marley Area	C1	7	R54	142	7	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	25°	17°	17°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FB2	False	0	0	-15'0 1/2	32'0 1/2	0	-	1662.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
473																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
474	Light	Source 4 26º	575W	Marley Area	B5	2	R54	328	26	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FA2	False	0	0	20'4.446	37'4.472	0	-	1663.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
475																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
476	Light	Source 4 26º	575W	Marley Area	C5	3	R54	284	27	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	FB2	False	0	0	20'4.446	32'.889	0	-	1664.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
477																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
478	Light	Source 4 36º	575W	walkway dh of W6	CATWALK LEFT	2	L200	101	426	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	34°	17°	23°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 36°	FOH	False	False	W6	False	0	0	30'11.001	22'8.73	216'0	-	1666.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
479																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
480	Light	Source 4 26º	575W	Splat H Blue	CATWALK LEFT	3	R80	98	459	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	222	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	Splat H	False	0	0	30'11.296	3'8.725	0	-	1668.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
481																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
482	Light	Source 4 19º	575W	Maggie Special	D4	2	L201	241	207	-	-	-	-	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	FC3	False	0	0	6'2.094	19'.447	0	-	2208.1.1.0.0	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
483																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
484	Static Accessory	Iris	-	-	D4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	6'1.816	19'11.932	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
485																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
486	Light	MR 16	750 W	WALL WASH	CATWALK R1	R1	BLUE	21	293	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	-38'3.264	8'1.877	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
487																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
488	Light	MR 16	750 W	WALL WASH	CATWALK R1	B1	GREEN	20	283	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	-38'3.189	5'7.341	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
489																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
490	Light	MR 16	750 W	WALL WASH	CATWALK R1	B2	RED	19	273	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	-38'3.189	3'.806	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
491																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
492	Light	MR 16	750 W	WALL WASH	CATWALK L1	A1	BLUE	111	296	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	37'10.553	7'10.951	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
493																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
494	Light	MR 16	750 W	WALL WASH	CATWALK L1	Q1	GREEN	110	286	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	37'10.478	5'4.416	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
495																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
496	Light	MR 16	750 W	WALL WASH	CATWALK L1	O1	RED	109	276	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	37'10.478	2'9.881	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
497																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
498	Light	MR 16	750 W	WALL WASH	CATWALK R1	Q1	BLUE	21	293	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	-38'3.264	15'11.316	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
499																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
500	Light	MR 16	750 W	WALL WASH	CATWALK R1	D1	GREEN	20	283	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	-38'3.189	13'4.781	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
501																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
502	Light	MR 16	750 W	WALL WASH	CATWALK R1	D2	RED	19	273	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	-38'3.189	10'10.246	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
503																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
504	Light	MR 16	750 W	WALL WASH	CATWALK L1	D1	BLUE	111	296	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	37'10.553	15'10.103	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
505																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
506	Light	MR 16	750 W	WALL WASH	CATWALK L1	M1	GREEN	110	286	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	37'10.478	13'3.568	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
507																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
508	Light	MR 16	750 W	WALL WASH	CATWALK L1	K1	RED	109	276	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	37'10.478	10'9.033	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
509																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
510	Light	MR 16	750 W	WALL WASH	CATWALK R1	O1	BLUE	21	293	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	-38'3.264	23'9.783	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
511																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
512	Light	MR 16	750 W	WALL WASH	CATWALK R1	F1	GREEN	20	283	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	-38'3.189	21'3.248	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
513																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
514	Light	MR 16	750 W	WALL WASH	CATWALK R1	F2	RED	19	273	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	-38'3.189	18'8.713	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
515																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
516	Light	MR 16	750 W	WALL WASH	CATWALK L1	G1	BLUE	111	296	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	37'10.444	23'8.969	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
517																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
518	Light	MR 16	750 W	WALL WASH	CATWALK L1	I2	GREEN	110	286	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	37'10.369	21'2.434	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
519																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
520	Light	MR 16	750 W	WALL WASH	CATWALK L1	I1	RED	109	276	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	37'10.369	18'7.899	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
521																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
522	Light	MR 16	750 W	WALL WASH	CATWALK R1	N1	BLUE	51	292	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	-38'3.264	31'7.223	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
523																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
524	Light	MR 16	750 W	WALL WASH	CATWALK R1	H1	GREEN	50	282	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	-38'3.189	29'.688	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
525																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
526	Light	MR 16	750 W	WALL WASH	CATWALK R1	H2	RED	49	272	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	-38'3.189	26'6.153	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
527																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
528	Light	MR 16	750 W	WALL WASH	CATWALK L1	H1	BLUE	72	295	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	37'10.553	31'8.406	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
529																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
530	Light	MR 16	750 W	WALL WASH	CATWALK L1	J1	GREEN	71	285	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	37'10.478	29'1.871	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
531																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
532	Light	MR 16	750 W	WALL WASH	CATWALK SL1	D1	RED	70	275	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	37'10.478	26'7.336	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
533																																																															2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
534	Light	MR 16	750 W	WALL WASH	CATWALK R1	L1	BLUE	51	292	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	-38'3.264	39'5.347	216'0	-	-	-	2016-02-01 19:44:48 UTC	2016-02-01 19:44:48 UTC	1
535																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
536	Light	MR 16	750 W	WALL WASH	CATWALK R1	J1	GREEN	50	282	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	-38'3.189	36'10.812	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
537																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
538	Light	MR 16	750 W	WALL WASH	CATWALK R1	J2	RED	49	272	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	-38'3.189	34'4.277	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
539																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
540	Light	MR 16	750 W	WALL WASH	CATWALK L1	F1	BLUE	72	295	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	37'10.553	39'8.928	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
541																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
542	Light	MR 16	750 W	WALL WASH	CATWALK SL1	E2	GREEN	71	285	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	37'10.478	37'2.393	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
543																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
544	Light	MR 16	750 W	WALL WASH	CATWALK L1	L1	RED	70	275	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' RIGHT	FOH	False	False	-	False	0	0	37'10.478	34'7.857	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
545																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
546	Light	MR 16	750 W	WALL WASH	CATWALK R1	K2	BLUE	51	292	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' LEFT	FOH	False	False	-	False	0	0	-38'3.264	47'3.472	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
547																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
548	Light	MR 16	750 W	WALL WASH	CATWALK R1	K1	GREEN	50	282	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1°	17°	1°	12°	0	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	R40 2.5' CTR	FOH	False	False	-	False	0	0	-38'3.189	44'8.937	216'0	-	-	-	2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
549																																																															2016-02-01 19:44:49 UTC	2016-02-01 19:44:49 UTC	1
