Device Type	Instrument Type	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	Address	Universe	U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Num Channels	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw Beam	Draw Beam as 3D Solid	Use Vertical Beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	Flip Front && Back Legend Text	Flip Left && Right Legend Text	Focus	Set 3D Orientation	X Rotation	Y Rotation	X Location	Y Location	Z Location	FixtureID	__UID	Accessories
Light	298	PAR 64 MFL	1	PAR HIGH SIDES SL	A3	8	-	257	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	3'6.994	45'.902	0	-	1560.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	299	Source 4 19º	575	-	A4	2	-	263	0	0	-	-	0	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	...	False	0	0	9'4.261	49'.656	0	-	1857.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	40	Iris	0	-	A4	2	-	0	0	0	-	-	0	-	A	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	9'3.95	48'1.889	216'0	-	1855.1.1.0.0	299	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	300	PAR 64 MFL	1	PAR HIGH SIDES SL	A4	5	-	292	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	13'4.378	45'.902	0	-	1561.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	301	Source 4 26º	575	HIGH SIDES SL	A5	4	-	336	0	0	-	-	0	-	-	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	23'8.761	47'5.447	0	-	1546.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	302	Source 4 26º	575	HIGH SIDES SL	A5	7	-	326	0	0	-	-	0	-	-	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	23'8.761	42'9.939	0	-	1547.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	303	PAR 64 MFL	1	PAR HIGH SIDES SL	A5	6	-	327	0	0	-	-	0	-	-	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	23'6.384	45'.902	0	-	1562.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	304	Source 4 19º	575	-	A5	5	-	325	0	0	-	-	0	-	-	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	21'9.521	46'2.116	0	-	1863.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	41	Iris	0	-	A5	5	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	0	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	20'10.777	46'2.116	216'0	-	1895.1.1.0.0	304	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	305	Source 4 19º	575	-	A3	5	-	228	0	0	-	-	0	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-7.927	48'7.775	0	-	1867.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Static Accessory	39	Iris	0	-	A3	5	-	0	0	0	-	-	0	-	-	-	-	-	-	-	-	1	0.0	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-7.927	47'9.964	216'0	-	1893.1.1.0.0	305	2016-02-02 19:45:15 UTC	2016-02-02 19:45:15 UTC	""
Light	306	PAR 64 MFL	1	PAR HIGH SIDES SR	B1	2	-	140	0	0	-	-	0	-	A	-	-	-	-	-	-	1	10.0	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-24'11.548	34'2.854	0	-	1568.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
Light	307	Source 4 19º	575	-	B1	3	-	147	0	0	-	-	0	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-23'1.006	36'3.222	0	-	1868.1.1.0.0	4	2016-02-02 19:45:13 UTC	2016-02-02 19:45:13 UTC	""
